year,price,location,branch,model,origin,km_driven,external_color,internal_color,num_seats,fuels,engine_capacity,gearbox,wheel_drive,car_type,prediction
2011,485.0,2,5,24,0,0.0,9,0,0,0,2.4,0,0,3,497.01
2016,390.0,12,5,18,0,60000.0,12,14,0,0,1.5,0,0,3,460.0
2020,393.0,10,0,10,0,7800.0,0,9,0,0,1.25,0,0,4,458.7825
2016,565.0,16,3,3,1,8100.0,8,9,0,1,2.2,0,1,2,919.08
2018,438.0,19,5,18,0,0.0,3,6,0,0,1.5,0,0,3,629.775
2006,588.0,2,5,113,0,100000.0,4,6,2,0,4.5,1,2,1,719.45
2010,399.0,2,7,16,0,130000.0,9,2,0,0,2.4,0,0,1,453.8
2017,193.0,19,4,14,0,0.0,0,6,0,0,1.25,1,0,4,236.56
2016,228.0,19,0,10,1,0.0,6,6,0,0,1.25,1,0,3,243.16
2017,170.0,4,1,40,0,115504.0,6,0,0,0,1.4,1,0,3,361.43
2021,9300.0,2,11,79,1,0.0,9,12,1,0,5.7,0,3,1,10317.44
2019,495.0,2,7,9,0,32000.0,6,2,0,0,1.5,0,0,3,732.545
2008,345.0,2,5,170,1,85000.0,4,6,0,0,1.8,0,0,3,295.095
2007,495.0,2,0,173,1,120000.0,3,0,1,1,3.0,0,3,1,446.05
2017,665.0,25,7,26,1,456789.0,9,2,0,0,1.5,0,0,3,571.87
2019,405.0,6,5,18,0,60000.0,6,0,0,0,1.5,1,0,3,436.57166666666666
2011,500.0,2,5,24,1,63000.0,9,2,0,0,2.0,0,0,3,349.38
2020,6350.0,2,13,128,1,8900.0,6,4,1,0,3.0,0,3,1,4753.55
2020,585.0,4,19,82,1,23830.0,2,4,1,0,1.5,0,0,1,901.2133333333335
2015,496.0,4,5,28,1,122600.0,4,0,0,1,2.5,1,1,2,459.26
2015,465.0,2,5,93,1,60000.0,8,0,0,0,1.3,0,0,4,562.4533333333334
2021,1045.0,2,0,0,0,6000.0,9,2,0,0,2.0,0,0,0,1034.66
2005,70.0,31,6,138,0,0.0,8,10,7,1,2.2,1,1,5,124.04
2020,600.0,20,4,44,0,30000.0,0,0,0,0,1.6,0,0,3,825.785
2003,188.0,13,5,19,0,0.0,8,6,0,0,1.8,1,0,3,176.43
2018,888.0,23,5,24,0,28123.0,9,4,0,0,2.5,0,0,3,1115.435
2018,569.0,2,10,17,0,42000.0,0,2,0,0,1.5,0,0,3,821.5521666666667
2014,373.0,25,5,18,0,0.0,0,2,0,0,1.5,0,0,3,369.73
2015,215.0,7,4,14,0,0.0,10,9,0,0,1.0,1,0,4,210.505
2016,1195.0,2,6,8,0,55000.0,6,8,0,0,2.0,0,1,3,746.64
2012,330.0,25,5,6,0,96000.0,12,7,2,0,2.0,1,1,0,407.82
2007,219.0,7,1,1,0,0.0,9,0,1,0,2.4,0,0,1,411.38333333333327
2019,283.0,25,0,10,0,0.0,6,0,0,0,1.25,1,0,3,288.78
2014,178.0,27,4,14,0,0.0,6,3,0,0,1.25,1,0,4,225.0
2011,440.0,30,4,174,1,110000.0,4,2,0,0,2.0,0,0,0,367.2
2019,1035.0,4,5,5,1,4200.0,10,4,2,0,2.7,0,1,1,1186.4276190476191
2019,298.0,2,5,91,1,0.0,5,11,0,0,1.2,1,0,4,269.0
2019,490.0,36,5,18,0,250000.0,4,11,0,0,1.5,1,0,3,429.63
2017,390.0,4,7,9,0,37000.0,6,2,0,0,1.5,1,0,3,352.24
2016,1169.0,4,6,8,0,50000.0,8,8,0,0,2.0,0,1,3,769.08
2021,4489.0,2,11,25,1,2000.0,9,0,0,0,3.5,0,3,1,4836.648888888889
2009,299.0,0,3,36,0,0.0,9,6,0,0,2.3,0,0,1,359.85
2021,1439.0,4,6,8,0,0.0,9,0,0,0,1.5,0,1,3,797.62
2018,745.0,2,17,58,0,40000.0,9,2,1,0,2.0,0,0,1,1197.0233333333333
2012,88.0,25,1,70,0,0.0,4,3,3,0,0.8,1,0,5,128.4635
2021,710.0,2,4,4,0,15000.0,6,6,0,0,1.4,0,0,0,620.93
2017,368.0,27,1,175,0,0.0,7,6,1,0,1.8,1,0,1,428.84
2017,695.0,2,4,43,0,59689.0,9,0,1,0,2.4,0,0,1,807.7566666666667
2019,629.0,0,4,44,0,0.0,0,9,0,0,2.0,0,0,3,814.455
2019,565.0,9,4,44,0,9000.0,10,6,0,0,1.6,0,0,3,796.57
2015,955.0,2,6,23,0,10.0,8,0,0,0,2.0,0,1,3,654.65
2021,1120.0,2,3,55,1,2000.0,9,2,1,1,2.0,0,1,1,1077.55
2009,185.0,19,15,51,1,102000.0,6,9,0,0,1.0,0,0,4,163.5
2008,173.0,4,5,6,0,0.0,4,6,2,0,2.0,1,1,0,277.295
2017,1180.0,2,6,8,0,40000.0,9,2,0,0,2.0,0,1,3,778.0587619047619
2016,375.0,49,4,44,0,90000.0,6,0,0,0,1.6,1,0,3,381.48
2015,434.0,23,4,68,0,0.0,2,6,0,0,1.6,0,0,3,798.913
2019,436.0,27,0,33,0,51000.0,4,3,0,0,1.4,0,0,3,724.9765238095238
2020,660.0,4,5,93,1,8000.0,0,0,0,0,1.5,0,0,4,661.3491666666665
2011,895.0,2,18,107,1,80000.0,6,9,0,0,2.0,0,3,1,621.42
2014,699.0,4,5,24,0,116000.0,12,4,0,0,2.5,0,0,3,504.945
2018,608.0,25,0,169,0,0.0,0,2,0,0,1.6,0,0,0,1023.07
2014,899.0,2,13,86,1,100000.0,6,0,0,0,2.0,0,1,3,437.1725
2016,2000.0,2,11,80,1,34000.0,7,8,0,0,2.0,0,3,1,1766.7516666666668
2009,165.0,41,15,90,0,62000.0,9,2,0,0,1.6,1,0,3,203.14
2017,1890.0,2,11,21,1,70000.0,9,0,0,0,2.5,0,0,3,662.5178571428571
2019,1155.0,2,5,24,0,36000.0,9,2,0,0,2.5,0,0,3,1075.653
2016,335.0,2,5,6,0,80000.0,12,0,2,0,2.0,1,1,0,808.16
2019,483.0,2,5,18,0,22000.0,9,0,0,0,1.5,1,0,3,440.94166666666666
2020,3939.0,4,6,20,0,13000.0,9,0,0,0,3.0,0,1,3,3942.205
2010,335.0,2,7,26,0,150000.0,4,5,0,0,1.8,0,0,3,339.07
2010,950.0,2,5,88,1,130000.0,8,2,1,0,2.7,0,2,1,495.72
2011,548.0,4,5,24,0,77000.0,4,0,0,0,2.4,0,0,3,510.66
2015,460.0,2,4,68,0,65000.0,6,2,0,0,2.0,0,0,3,741.315
2019,585.0,2,4,44,0,50000.0,9,6,0,0,1.6,0,0,3,792.3
2016,1149.0,2,6,8,0,60000.0,9,0,0,0,2.0,0,1,3,760.865
2018,539.0,13,17,45,1,63000.0,3,0,0,1,2.5,0,1,2,735.9366666666667
2000,75.0,7,10,53,0,20000.0,6,11,0,0,1.6,1,0,3,125.91
2009,130.0,30,15,90,0,120000.0,9,2,0,0,1.6,1,0,3,206.99
2017,1795.0,2,5,88,1,62000.0,6,2,1,0,2.7,0,2,1,736.475
2010,165.0,18,4,14,1,15.0,6,2,0,0,1.0,1,0,4,177.83
2020,598.0,4,3,83,0,30000.0,8,2,0,0,1.5,0,0,1,976.62
2009,80.0,25,1,70,0,0.0,4,9,0,0,0.8,1,0,4,106.38
2009,278.0,4,0,117,1,0.0,4,6,0,0,1.6,0,0,4,340.85
2016,485.0,2,10,17,0,62000.0,6,2,0,0,1.5,0,0,3,495.47
2021,655.0,2,0,29,0,3000.0,9,14,0,0,2.0,0,0,3,1042.335
2020,706.0,0,4,4,0,20000.0,6,6,0,0,1.4,0,0,0,597.2866666666666
2019,595.0,2,5,6,0,0.0,10,1,2,0,2.0,1,1,0,850.2000000000002
2021,1045.0,2,0,0,0,60000.0,9,2,0,0,2.0,0,0,0,963.59
2019,1239.0,6,3,3,1,58000.0,8,2,0,1,2.0,0,2,2,1259.230476190476
2017,1099.0,2,6,8,0,40000.0,8,2,0,0,2.0,0,1,3,777.3487619047619
2019,298.0,2,0,10,0,0.0,6,9,0,0,1.25,1,0,4,287.4
2019,639.0,4,5,6,0,37000.0,4,4,2,0,2.0,1,1,0,846.4132142857144
2010,188.0,13,15,90,0,0.0,4,6,0,0,1.6,1,0,3,211.47
2006,199.0,3,5,6,0,22000.0,11,0,2,0,2.0,1,1,0,247.96
2010,880.0,4,5,88,1,150000.0,9,12,1,0,2.7,0,2,1,490.23
2010,193.0,16,0,13,1,0.0,3,6,0,0,1.1,1,0,4,170.49333333333337
2010,332.0,2,5,93,1,99999.0,0,8,0,0,1.3,0,0,4,272.575
2016,7650.0,2,18,49,1,30000.0,7,4,4,0,5.0,0,3,1,6931.282976190475
2008,208.0,25,5,6,0,0.0,4,0,2,0,2.0,1,1,0,276.76616666666666
2014,530.0,2,3,3,1,0.0,0,2,0,1,3.2,0,2,2,959.39
2014,1350.0,2,18,107,1,0.0,6,2,0,0,2.0,0,3,1,1005.48
2011,685.0,2,6,23,0,80000.0,6,2,0,0,1.8,0,1,3,468.775
2020,2545.0,2,6,23,0,20800.0,6,4,0,0,2.0,0,1,3,906.4096428571429
2021,648.0,2,5,85,1,13000.0,0,2,1,0,1.5,0,1,1,813.7458333333333
2012,360.0,38,5,93,1,82000.0,0,8,0,0,1.5,0,0,4,344.815
2017,392.0,4,3,89,0,15000.0,6,2,0,0,1.0,0,0,4,512.805
2011,655.0,2,13,84,1,90000.0,11,2,0,0,3.0,0,3,1,734.3966666666665
2014,2780.0,4,6,165,1,42000.0,2,0,1,0,4.7,0,3,1,2337.415666666667
2004,193.0,25,3,3,0,0.0,5,6,0,1,2.5,1,2,2,195.24
2021,13990.0,2,6,11,1,4500.0,6,8,0,0,4.0,0,3,1,5750.754
2020,520.0,6,5,18,0,21000.0,12,14,0,0,1.5,0,0,3,643.17
2020,725.0,4,3,3,1,30000.0,9,2,0,1,2.2,0,1,2,1176.91
2020,730.0,2,4,4,0,11000.0,0,7,0,0,1.4,0,0,0,602.97
2016,2400.0,2,6,156,1,50000.0,2,0,1,1,2.1,0,1,5,1114.805
2019,639.0,2,10,17,0,0.0,6,2,0,0,2.0,0,0,3,1490.1125
2020,1185.0,4,3,55,1,17000.0,6,2,1,1,2.0,0,1,1,1011.918
2016,715.0,2,7,16,0,0.0,2,2,0,0,2.4,0,0,1,1147.1816666666666
1992,58.0,31,7,31,1,160000.0,4,2,0,0,2.0,1,0,3,148.8
2017,734.0,2,7,16,0,67000.0,0,6,0,0,2.0,0,0,1,1140.0828571428572
2004,119.0,52,15,90,0,100000.0,4,6,0,0,1.6,1,0,3,125.5
2008,420.0,31,17,176,1,120000.0,0,8,0,0,2.0,0,3,1,507.87
2019,400.0,7,5,18,0,50000.0,4,11,0,0,1.5,1,0,3,439.535
2020,845.0,2,19,62,0,11000.0,6,2,1,0,2.0,0,0,1,1570.465
2015,1055.0,2,6,8,0,0.0,0,2,0,0,2.0,0,1,3,720.51
2021,1790.0,2,6,38,0,69.0,9,0,0,0,2.0,0,1,1,1243.1233333333334
2020,735.0,2,4,4,0,22000.0,6,0,0,0,1.4,0,0,0,595.93
2019,1750.0,2,6,23,0,30000.0,6,2,0,0,2.0,0,1,3,820.76
2018,1560.0,2,6,8,0,51000.0,6,2,0,0,2.0,0,1,3,843.3389999999999
2001,200.0,31,5,24,0,181000.0,11,6,0,0,2.2,1,0,3,181.9
2018,348.0,4,4,14,0,46000.0,8,13,0,0,1.25,0,0,4,451.445
2020,812.0,54,10,47,0,0.0,6,2,0,0,2.0,0,0,1,1100.03
2015,994.0,2,6,8,0,60000.0,6,2,0,0,2.0,0,1,3,727.07
2007,70.0,38,15,51,0,0.0,6,9,0,0,0.8,1,0,4,84.44
2017,1629.0,2,6,38,0,0.0,0,0,0,0,2.0,0,3,1,1793.82
2020,605.0,4,4,44,0,9000.0,0,2,0,0,1.6,0,0,3,837.83
2015,710.0,2,5,24,0,40000.0,9,0,0,0,2.0,0,0,3,718.92
2017,515.0,0,10,17,0,42000.0,0,2,0,0,1.5,0,0,3,651.7866666666666
2002,102.0,4,0,177,1,0.0,9,2,6,1,2.5,1,1,5,114.52
2021,2099.0,4,6,38,0,30.0,7,0,0,0,2.0,0,3,1,2823.870000000001
2005,218.0,15,5,94,0,0.0,3,6,2,0,1.8,1,1,1,145.32333333333332
2008,265.0,30,3,55,0,27000.0,12,0,2,1,2.5,1,1,1,258.27
2010,398.0,21,21,178,1,80000.0,6,2,4,0,1.4,0,0,6,437.26
2020,1250.0,2,0,7,0,3000.0,6,15,1,1,2.2,0,3,1,1225.31
2010,386.0,2,6,8,0,91000.0,7,0,0,0,1.8,0,1,3,427.46
2019,419.0,4,5,18,0,20700.0,2,1,0,0,1.5,1,0,3,446.74
2018,585.0,2,1,124,1,75000.0,9,7,0,1,2.8,0,2,2,782.2299047619048
2011,835.0,13,13,142,1,88888.0,6,0,0,0,3.0,0,3,1,718.8866666666665
2017,650.0,7,7,26,1,3.0,6,2,0,0,1.5,0,0,3,594.4316666666667
2018,570.0,4,5,85,1,74000.0,4,2,1,0,1.5,0,1,1,697.35
2021,1365.0,2,0,7,0,9500.0,0,9,1,0,2.5,0,3,1,1324.26
2005,165.0,32,5,94,0,0.0,8,6,2,0,1.8,1,1,1,147.38
2020,2499.0,2,9,15,1,6000.0,4,2,0,0,2.0,0,0,4,1406.92
2018,1720.0,2,6,38,0,60000.0,6,4,0,0,2.0,0,3,1,2237.5453333333335
2019,559.0,0,4,44,0,19000.0,0,0,0,0,1.6,0,0,3,808.16
2018,705.0,2,10,27,0,0.0,6,3,0,0,2.0,0,0,3,958.03
2010,350.0,2,10,17,1,10000.0,0,2,0,0,2.0,0,0,4,392.69
2016,1165.0,2,6,8,0,0.0,6,0,0,0,2.0,0,1,3,743.2033333333334
2021,1439.0,4,6,8,0,0.0,9,0,0,0,1.5,0,1,3,797.62
2021,675.0,2,4,44,0,2000.0,8,9,0,0,2.0,0,0,3,928.65
2015,490.0,4,1,1,0,0.0,6,6,1,0,2.4,0,0,1,1236.415
2021,1640.0,19,6,8,0,8000.0,9,3,0,0,2.0,0,1,3,1007.01
2015,338.0,5,5,6,0,0.0,4,11,2,0,2.0,1,1,0,812.5733333333333
2018,268.0,5,1,40,0,80000.0,0,0,0,0,1.4,1,0,3,380.01
2011,285.0,2,0,110,1,60000.0,0,7,0,0,1.4,0,0,4,462.16583333333335
2006,173.0,25,5,6,0,0.0,4,6,2,0,2.0,1,1,0,245.68666666666664
2012,273.0,36,0,110,1,0.0,3,6,0,0,1.4,0,0,4,489.48
2011,636.0,2,5,24,1,59000.0,4,0,0,0,2.5,0,0,3,402.23
2016,423.0,10,3,83,0,45000.0,4,6,0,0,1.5,0,0,1,732.6766666666666
2018,819.0,2,10,47,0,47000.0,6,2,0,0,2.5,0,0,1,1372.2272857142857
2010,216.0,36,4,14,1,9000000.0,6,2,0,0,1.0,0,0,4,237.22
2014,455.0,16,5,19,0,60000.0,9,6,0,0,1.8,1,0,3,349.7
2009,64.0,0,1,70,0,0.0,8,11,0,0,0.8,1,0,4,104.54226190476192
2017,424.0,27,0,29,0,75000.0,6,7,0,0,1.6,1,0,3,411.57666666666665
2017,370.0,4,5,18,0,0.0,4,6,0,0,1.5,0,0,3,572.05
2016,505.0,2,17,45,1,55555.0,3,9,0,1,2.5,0,1,2,602.5533333333333
2019,1060.0,4,0,7,0,28000.0,8,4,1,0,2.4,0,3,1,1028.31
2019,2365.0,2,5,88,1,28000.0,6,0,1,0,2.7,0,2,1,831.9883333333335
2015,763.0,4,0,7,0,0.0,6,6,1,0,2.4,0,2,1,826.9970952380952
2009,155.0,2,15,90,0,0.0,9,6,0,0,1.6,1,0,3,213.61
2020,429.0,0,7,78,1,19000.0,5,7,0,0,1.2,0,0,4,464.3975
2016,640.0,2,10,47,0,0.0,6,3,0,0,2.0,0,0,1,718.6975
2020,970.0,2,5,24,1,20000.0,9,0,0,0,2.0,0,0,3,780.2669696969696
2017,1365.0,2,6,8,0,45000.0,6,2,0,0,2.0,0,1,3,763.6120952380953
2008,205.0,4,5,6,0,180000.0,4,0,2,0,2.0,1,1,0,277.9066666666667
2021,1450.0,4,3,3,1,19000.0,9,2,0,1,2.0,0,2,2,1417.451
2016,410.0,2,10,71,0,100000.0,0,2,0,0,1.5,0,0,3,474.23666666666657
2011,325.0,13,0,33,1,90066.0,6,0,0,0,1.4,0,0,3,333.65
2019,480.0,40,7,9,0,59000.0,8,2,0,0,1.5,0,0,3,740.6211904761907
2018,476.0,2,5,18,0,50000.0,3,6,0,0,1.5,0,0,3,631.3775
2017,605.0,2,19,60,0,31000.0,7,0,1,1,2.5,1,1,1,677.48
2006,184.0,30,5,6,0,0.0,11,6,2,0,2.0,1,1,0,249.46
2004,85.0,2,0,177,1,125.0,6,13,8,1,2.5,1,1,5,141.57
2018,2990.0,2,11,25,1,28000.0,9,1,0,0,2.0,0,3,1,2324.1273333333334
2016,2190.0,2,16,42,1,85000.0,6,4,1,0,2.0,0,3,1,1827.25
2021,1489.0,4,6,8,0,40.0,7,2,0,0,1.5,0,1,3,793.27
2018,720.0,4,5,6,0,15500.0,6,2,2,0,2.0,0,1,0,890.8326666666668
2020,705.0,2,10,17,0,36000.0,6,2,0,0,1.5,0,0,3,832.44
2009,270.0,4,5,6,0,178000.0,4,5,2,0,2.0,1,1,0,319.14
2018,354.0,25,5,18,0,50.0,6,0,0,0,1.5,1,0,3,383.28
2017,550.0,16,3,3,1,0.0,11,9,0,1,2.2,0,1,2,935.4216666666667
2005,178.0,4,20,179,0,79000.0,4,6,2,1,2.5,1,1,1,187.98
2009,1130.0,2,11,25,1,80000.0,6,0,0,0,3.5,0,3,1,849.14
2012,285.0,2,10,71,0,88000.0,8,2,0,0,1.5,0,0,4,341.68
2016,655.0,0,10,47,0,0.0,2,2,0,0,2.5,0,0,1,1136.4006666666667
2019,308.0,24,5,91,1,49000.0,4,2,0,0,1.2,1,0,4,300.00666666666666
2010,208.0,2,5,18,0,0.0,4,6,0,0,1.5,1,0,3,203.58
2022,445.0,2,4,14,0,1300.0,0,2,0,0,1.25,0,0,4,518.04
2020,8750.0,2,11,79,1,7000.0,6,8,1,0,5.7,0,3,1,8756.895
2019,589.0,2,10,17,0,24000.0,6,2,0,0,1.5,0,0,3,815.5658333333334
2002,54.0,2,15,51,0,0.0,8,3,0,0,0.8,1,0,4,58.41
2021,1125.0,2,23,144,0,12000.0,6,2,0,0,1.6,0,0,0,841.23
2015,1630.0,2,5,88,1,100000.0,9,2,1,0,2.7,0,2,1,680.98
2018,215.0,30,4,14,0,0.0,7,6,0,0,1.25,1,0,4,267.77
1995,135.0,0,5,24,1,200000.0,9,0,0,0,3.0,1,0,3,192.92
2020,355.0,15,2,35,0,26000.0,6,2,0,0,1.4,0,0,4,698.765
2002,98.0,2,10,53,0,0.0,9,4,0,0,1.6,1,0,3,141.97
2016,396.0,5,4,68,0,100000.0,6,2,0,0,1.6,1,0,3,387.02
2018,717.0,0,10,47,0,0.0,4,2,0,0,2.0,0,0,1,1025.0416666666665
2001,64.0,6,15,180,0,0.0,6,9,0,0,1.5,1,0,3,64.68
2017,475.0,0,5,6,0,79500.0,4,4,2,0,2.0,1,1,0,833.6258333333333
2011,1350.0,2,18,140,1,110000.0,2,0,0,0,5.0,0,3,1,1140.51
2013,305.0,6,0,110,1,0.0,4,6,0,0,1.4,0,0,4,524.65
2009,169.0,2,3,72,0,111.0,3,9,7,1,2.4,1,1,5,186.98
2020,1730.0,0,6,8,0,17000.0,6,2,0,0,2.0,0,1,3,962.6983333333333
2020,415.0,34,5,18,0,36000.0,6,2,0,0,1.5,1,0,3,451.59333333333336
2014,558.0,2,5,5,0,0.0,4,0,2,0,2.7,0,1,1,1260.928333333333
2021,885.0,4,5,116,1,4000.0,4,4,0,0,1.8,0,0,1,708.33
2004,46.0,14,15,51,0,0.0,8,6,0,0,0.8,1,0,4,55.54
2017,590.0,4,3,3,1,60.0,3,4,0,1,2.2,0,1,2,942.9225
2018,459.0,30,7,9,0,0.0,2,6,0,0,1.5,0,0,3,708.715
2011,90.0,2,1,70,0,0.0,6,3,0,0,0.8,1,0,4,121.30666666666666
2021,1430.0,2,5,5,0,15000.0,6,9,1,1,2.8,0,2,1,1637.8225
2010,258.0,19,0,110,1,0.0,0,2,0,0,1.4,0,0,4,369.33
2010,320.0,4,1,1,0,58000.0,9,0,1,0,2.4,0,0,1,479.39
2018,475.0,2,19,82,1,30000.0,9,0,1,0,1.5,1,0,1,301.04
2017,470.0,2,10,17,0,58000.0,8,2,0,0,1.5,0,0,3,648.3583333333333
2012,550.0,36,6,8,0,104000.0,6,2,0,0,3.0,0,1,3,1310.68
2018,282.0,2,1,40,0,0.0,6,0,0,0,1.4,1,0,3,378.15
2018,1990.0,2,13,181,1,0.0,9,4,0,0,2.0,0,3,1,2080.8074761904763
2016,495.0,2,5,28,1,75000.0,11,2,0,1,2.5,1,1,2,478.37
2016,495.0,19,4,46,0,0.0,6,0,1,0,2.0,0,0,1,735.5966666666666
2020,1219.0,4,5,24,1,22700.0,0,2,0,0,2.5,0,0,3,850.1933333333333
2016,470.0,2,5,6,0,68000.0,4,0,2,0,2.0,1,1,0,809.035
1996,59.0,41,10,99,1,50000.0,0,0,0,0,2.0,1,0,3,103.25
2009,365.0,2,5,19,0,110000.0,9,0,0,0,2.0,0,0,3,345.125
2018,1399.0,2,6,8,0,27000.0,0,2,0,0,2.0,0,1,3,843.4639999999999
2019,522.0,4,5,18,0,25300.0,6,0,0,0,1.5,0,0,3,642.6192857142858
2017,605.0,4,3,3,1,80000.0,7,2,0,1,2.2,0,1,2,916.57
2012,505.0,2,5,24,0,90000.0,9,0,0,0,2.4,0,0,3,545.09
2019,8950.0,2,11,79,1,22000.0,9,4,4,0,5.7,0,3,1,9019.963333333333
2016,228.0,48,0,10,1,0.0,6,6,0,0,1.25,1,0,3,227.195
2018,710.0,4,5,6,0,69631.0,0,2,2,0,2.0,0,1,0,855.314
2015,318.0,4,7,9,0,0.0,6,6,0,0,1.5,1,0,3,222.545
2016,576.0,2,3,3,1,50000.0,6,0,0,1,2.2,0,1,2,891.21
2004,140.0,25,4,14,1,0.0,8,6,0,0,1.0,0,0,4,181.73
2019,498.0,30,4,44,0,0.0,0,6,0,0,1.6,0,0,3,787.55
2016,228.0,10,1,40,0,0.0,9,6,0,0,1.5,1,0,3,360.34
2002,69.0,43,15,37,0,0.0,6,3,0,0,1.6,1,0,3,125.5
2012,1168.0,4,16,42,1,32000.0,6,4,1,0,3.0,0,3,1,843.89
2016,798.0,2,0,7,0,71000.0,6,0,1,0,2.4,0,2,1,845.69
2017,1435.0,2,6,38,0,60000.0,8,4,0,0,2.0,0,3,1,1732.26
2019,413.0,4,19,82,1,0.0,4,4,1,0,1.5,1,0,1,432.605
2016,710.0,4,5,5,0,32200.0,4,2,2,0,2.7,0,2,1,958.71
2015,510.0,4,10,27,0,67000.0,9,2,0,0,2.0,0,0,3,700.4515238095238
2012,338.0,2,4,32,1,0.0,0,6,0,0,1.4,0,0,4,323.105
2013,500.0,2,5,19,0,63000.0,3,14,0,0,2.0,0,0,3,560.6
2016,1550.0,2,6,38,0,55000.0,6,1,0,0,2.0,0,3,1,1679.14
2019,478.0,2,5,18,0,38000.0,2,0,0,0,1.5,0,0,3,661.885
2017,5950.0,2,14,34,1,30000.0,6,8,4,0,2.9,0,1,3,1105.8
2019,348.0,2,5,91,1,38000.0,6,2,0,0,1.2,0,0,4,592.1933333333334
2019,800.0,2,2,2,0,50000.0,8,4,1,0,2.0,0,1,1,1494.7121904761907
2009,310.0,19,5,93,1,70000.0,4,9,0,0,1.3,0,0,4,224.5
2010,170.0,9,4,14,1,0.0,6,6,3,0,1.0,0,0,5,210.02
2017,429.0,2,7,9,0,60000.0,6,10,0,0,1.5,0,0,3,633.5316666666668
2020,9200.0,2,11,182,1,0.0,9,0,4,2,2.5,0,3,5,2868.416666666667
2015,438.0,0,0,29,1,68000.0,2,2,0,0,1.8,0,0,3,599.3849999999999
2007,165.0,16,0,13,1,0.0,8,2,0,0,1.4,0,0,4,303.07
2021,1169.0,26,4,43,0,21000.0,8,2,1,0,2.5,0,3,1,1212.31
2008,595.0,4,13,142,1,0.0,6,2,0,0,3.0,0,3,1,512.59
2011,1350.0,2,18,140,1,0.0,9,0,0,0,5.0,0,3,1,1093.12
2013,2380.0,2,5,113,1,70000.0,9,2,2,0,4.6,0,3,1,2372.18
2018,1690.0,2,6,23,0,45000.0,6,2,0,0,2.0,0,1,3,766.1984848484848
2018,805.0,4,3,3,1,60000.0,5,2,0,1,2.0,0,1,2,1037.336142857143
2008,220.0,13,7,26,0,0.0,11,6,0,0,1.8,1,0,3,226.05
2019,978.0,2,10,100,0,40000.0,0,4,1,0,2.5,0,3,1,982.845
2015,1020.0,2,6,8,0,65555.0,9,8,0,0,2.0,0,1,3,747.19
2020,425.0,42,5,18,0,38000.0,6,2,0,0,1.5,1,0,3,446.62333333333333
2020,586.0,4,19,82,1,45000.0,6,2,1,0,1.5,0,0,1,885.6866666666666
2015,636.0,2,5,5,0,8000.0,4,4,2,1,2.5,1,1,1,841.838888888889
2019,448.0,12,19,82,1,0.0,0,6,1,0,1.5,1,0,1,432.33
2017,620.0,50,20,183,1,200000.0,4,7,1,1,2.5,1,1,1,597.88
2007,225.0,4,1,1,0,79000.0,9,0,1,0,2.4,0,0,1,415.5233333333333
2020,830.0,22,10,27,0,0.0,6,2,0,0,2.0,0,0,3,1054.17
2011,286.0,2,5,18,0,78000.0,4,0,0,0,1.5,1,0,3,227.6
2019,635.0,2,0,169,0,11000.0,6,2,0,0,2.0,0,0,0,1396.9191666666666
2002,99.0,24,19,77,0,0.0,0,0,2,0,2.0,1,1,1,120.24
2008,899.0,2,18,140,1,100000.0,9,2,0,0,4.2,0,3,1,618.38
2018,625.0,2,1,124,1,0.0,0,2,0,1,2.8,0,2,2,777.54
2016,403.0,36,10,71,0,0.0,2,2,0,0,1.5,0,0,3,461.30300000000005
2008,139.0,21,0,13,1,12345678.0,8,9,0,0,1.1,1,0,4,173.89
2015,478.0,31,23,144,0,0.0,0,6,0,0,1.6,0,0,0,770.61
2008,214.0,17,7,26,0,0.0,11,3,0,0,1.8,1,0,3,226.37
2015,329.0,0,0,10,1,80000.0,6,9,0,0,1.25,0,0,4,333.97
2014,5090.0,2,18,49,1,50000.0,9,4,4,0,5.0,0,3,1,4398.09
2021,1070.0,20,5,24,1,8000.0,6,6,0,0,2.0,0,0,3,813.2061547619047
2019,285.0,2,5,91,1,3200.0,6,7,0,0,1.2,1,0,4,321.5211111111111
2017,293.0,2,4,14,0,0.0,0,6,0,0,1.25,0,0,4,395.15
2017,535.0,20,10,17,0,50000.0,6,2,0,0,1.5,0,0,3,636.2416666666667
2019,526.0,4,5,18,0,14000.0,6,0,0,0,1.5,0,0,3,643.5726190476191
2015,1045.0,2,6,139,1,0.0,6,2,0,0,2.0,0,3,1,1287.655
2015,118.0,12,1,70,0,100000.0,0,8,3,0,0.8,1,0,5,204.36
2017,760.0,27,10,47,0,38000.0,6,2,0,0,2.5,0,0,1,1193.74
2018,620.0,2,1,124,1,48000.0,5,4,0,1,2.5,0,2,2,795.85
2021,969.0,2,2,2,0,8000.0,0,6,1,0,2.0,0,1,1,1552.0364285714284
2020,1030.0,4,5,5,0,66000.0,6,11,2,1,2.4,0,1,1,1206.56
2003,46.0,0,15,51,0,0.0,6,2,0,0,0.8,1,0,4,51.95
2016,485.0,2,10,17,0,40000.0,0,2,0,0,1.5,0,0,3,509.47833333333335
2016,708.0,39,10,47,0,0.0,6,6,0,0,2.5,0,0,1,1124.315
2001,123.0,2,5,94,0,100000.0,8,6,2,0,1.8,1,1,1,97.53
2011,118.0,15,4,14,0,0.0,3,9,0,0,1.1,1,0,4,180.2566666666667
2003,139.0,7,3,36,0,0.0,8,0,0,0,3.0,0,2,1,289.29
