year,price,location,branch,model,origin,km_driven,external_color,internal_color,num_seats,fuels,engine_capacity,gearbox,wheel_drive,car_type
2018,829.0,0,2,69,1,70000.0,6,2,0,1,2.0,0,0,3
2018,1720.0,0,3,15,1,47000.0,3,2,0,0,2.0,0,3,1
2003,93.0,29,12,133,1,0.0,0,0,0,0,1.6,1,0,0
2019,348.0,1,2,37,1,0.0,3,7,0,0,1.25,0,0,0
2021,2530.0,0,3,15,1,6000.0,2,2,0,0,2.0,0,3,1
2017,423.0,8,11,20,1,0.0,1,1,0,0,1.5,0,0,0
2018,458.0,3,0,17,1,0.0,6,11,0,0,1.5,0,0,0
2019,613.0,0,11,36,1,10000.0,7,1,0,0,1.5,0,0,0
2008,235.0,0,4,207,0,130000.0,1,0,0,0,1.5,0,0,2
2013,1239.0,0,7,12,0,50000.0,3,7,0,0,2.0,0,3,1
2019,3200.0,0,10,257,0,10000.0,1,11,0,0,2.0,0,1,6
2014,85.0,21,13,45,1,0.0,7,8,0,0,1.0,1,0,2
2010,210.0,57,15,34,0,82000.0,2,7,0,0,1.6,1,0,0
2018,779.0,6,11,46,1,0.0,3,1,0,0,2.0,0,0,1
2020,1080.0,5,9,47,1,48000.0,3,2,1,0,3.3,0,0,5
2020,575.0,0,12,100,0,20156.0,3,2,1,0,1.5,0,0,1
2008,718.0,0,6,43,0,100000.0,5,1,0,0,3.6,0,3,1
2013,809.0,0,16,239,0,75000.0,11,1,0,0,2.0,0,3,0
2016,690.0,6,4,14,1,0.0,1,1,0,0,2.4,0,0,1
2009,585.0,0,2,2,0,90000.0,2,6,1,1,2.0,0,0,1
2017,2948.0,0,10,19,0,48000.0,6,6,0,0,3.5,0,3,1
2016,368.0,0,0,21,1,7125.0,6,2,2,0,2.0,1,1,3
2007,418.0,1,0,0,1,78000.0,2,2,0,0,2.4,0,0,0
2018,1145.0,0,14,42,0,67000.0,2,1,0,1,2.0,0,2,4
2011,143.0,57,15,66,1,0.0,0,0,0,0,1.5,1,0,0
2010,1150.0,0,7,77,0,65000.0,12,2,0,0,5.0,0,3,1
2012,688.0,0,2,2,0,80000.0,0,1,1,1,2.2,0,0,1
2019,1720.0,1,3,4,1,12000.0,3,6,0,0,2.0,0,1,0
2018,785.0,0,2,69,1,5.0,7,2,0,1,2.0,0,0,3
2018,6569.0,0,6,43,0,35000.0,7,2,0,0,2.9,0,3,1
2016,1165.0,0,3,4,1,50000.0,4,1,0,0,2.0,0,1,0
2021,970.0,0,12,138,0,5000.0,2,1,1,1,2.4,0,1,1
2009,394.0,50,12,133,0,144000.0,9,1,0,0,2.0,0,0,0
2019,1400.0,1,0,6,0,5000.0,0,10,2,1,2.8,0,2,1
2017,720.0,1,11,46,1,30000.0,4,1,0,0,2.5,0,0,1
2018,385.0,0,8,13,1,45000.0,2,2,0,0,1.5,0,0,0
2009,132.0,0,15,34,1,130000.0,0,0,0,0,1.6,1,0,0
2017,770.0,0,14,42,0,0.0,3,7,0,1,2.2,0,2,4
2001,34.0,0,15,30,1,0.0,3,5,0,0,0.8,1,0,2
2009,335.0,0,4,81,1,85000.0,0,15,0,0,2.0,0,0,0
2008,75.0,27,15,30,0,0.0,3,4,0,0,0.8,1,0,2
2014,695.0,3,0,0,1,45000.0,2,1,0,0,2.5,0,0,0
2016,445.0,1,13,28,1,39000.0,3,0,0,0,1.8,0,0,0
2017,710.0,1,0,21,1,76127.0,1,1,2,0,2.0,0,1,3
2009,299.0,0,0,35,1,68000.0,2,2,0,0,1.8,1,0,0
2017,296.0,0,0,17,1,0.0,3,2,0,0,1.5,1,0,0
2008,310.0,0,12,165,1,1234567.0,6,2,1,0,2.4,0,0,3
2016,1450.0,0,14,158,0,69000.0,2,2,1,0,2.3,0,3,1
2008,320.0,1,3,16,1,120000.0,2,1,0,0,1.8,0,1,0
2016,465.0,1,0,21,1,70000.0,7,2,2,0,2.0,1,1,3
2011,152.0,0,2,37,0,0.0,0,4,0,0,1.1,1,0,2
2009,298.0,13,9,18,0,11000.0,1,1,0,0,1.6,0,0,0
2007,185.0,11,9,25,0,0.0,2,1,0,0,1.0,0,0,2
2014,220.0,0,2,37,0,80000.0,0,11,0,0,1.0,1,0,2
2010,385.0,44,0,35,1,175250.0,12,2,0,0,1.8,1,0,0
2010,475.0,1,3,55,1,132500.0,8,1,0,0,3.0,0,3,1
2014,196.0,10,2,37,0,0.0,3,0,0,0,1.0,1,0,2
2019,1760.0,0,3,15,1,24000.0,2,1,0,0,2.0,0,3,1
2017,532.0,0,2,23,1,5.0,3,0,0,0,2.0,0,0,0
2009,76.0,47,15,30,0,6886.0,3,1,5,0,0.8,1,0,5
2016,448.0,61,0,21,1,160000.0,0,6,2,0,2.0,1,1,3
2008,68.0,26,15,30,1,0.0,4,7,0,0,0.8,1,0,2
2014,505.0,24,2,134,0,0.0,0,0,8,1,2.5,1,1,5
2013,835.0,0,1,98,0,80000.0,7,2,0,0,2.0,0,1,0
2021,1300.0,0,2,2,1,8686.0,3,6,1,1,2.2,0,3,1
2006,689.0,2,10,106,0,18999.0,2,11,1,0,4.7,0,3,1
2017,516.0,0,14,42,0,0.0,4,7,0,1,2.2,1,1,4
2006,550.0,1,0,44,0,105.0,6,4,1,0,3.3,0,3,5
2015,1000.0,0,3,4,1,150000.0,4,1,0,0,2.0,0,1,0
2014,420.0,52,0,22,0,79000.0,11,1,0,0,1.3,0,0,2
2019,515.0,1,14,41,1,40000.0,3,7,6,1,2.4,1,1,5
2015,653.0,11,0,6,1,67.0,0,2,2,1,2.5,1,1,1
2021,1299.0,0,14,42,0,15000.0,3,1,0,1,2.0,0,2,4
2004,240.0,0,0,35,1,90000.0,6,10,0,0,1.8,1,0,0
2011,250.0,6,0,21,1,0.0,0,4,2,0,2.0,1,1,3
2011,353.0,9,9,64,0,0.0,11,4,0,0,1.6,0,0,0
2017,505.0,0,11,50,0,60000.0,7,10,0,1,2.2,0,1,4
2020,638.0,0,4,81,0,0.0,2,1,0,0,1.8,0,0,0
2015,585.0,0,0,6,1,90000.0,4,2,2,0,2.7,0,1,1
2019,619.0,1,14,42,0,53000.0,2,1,0,1,2.2,1,1,4
2017,335.0,15,2,37,1,0.0,10,5,0,0,1.25,0,0,0
2016,245.0,21,13,45,1,32000.0,11,8,0,0,1.2,1,0,2
2020,1023.0,21,0,6,1,0.0,11,4,1,1,2.4,0,1,1
2018,5600.0,0,6,43,0,40000.0,3,2,0,0,3.0,0,3,1
2009,305.0,2,14,42,0,0.0,2,7,0,1,2.5,1,2,4
2016,818.0,21,0,0,1,79000.0,7,6,0,0,2.5,0,0,0
2021,536.0,1,12,100,0,28120.0,3,1,1,0,1.5,1,0,1
2013,365.0,1,14,79,1,70000.0,0,1,0,0,1.8,0,0,2
2019,848.0,0,25,255,0,37000.0,4,1,0,0,2.0,0,3,1
2021,950.0,6,12,138,0,9000.0,3,1,1,1,2.4,0,1,1
2007,988.0,1,10,99,0,75000.0,3,2,0,0,4.6,0,1,0
2016,960.0,0,3,4,1,50000.0,2,2,0,0,2.0,0,1,0
2011,259.0,6,14,72,1,100000.0,6,1,0,0,1.6,0,0,0
2005,139.0,1,12,128,1,79000.0,4,4,2,0,2.0,1,1,1
2020,430.0,6,4,108,0,0.0,1,8,0,0,1.2,0,0,2
2004,165.0,0,14,163,1,180000.0,7,6,0,0,2.5,0,0,0
2020,525.0,6,11,20,0,23652.0,3,1,0,0,1.5,0,0,0
2018,580.0,0,11,36,1,50000.0,4,6,0,0,1.5,0,0,0
2019,549.0,1,0,17,1,13000.0,0,2,0,0,1.5,0,0,0
2012,245.0,20,2,53,0,100000.0,11,7,0,0,1.4,1,0,0
2016,360.0,52,0,17,1,81000.0,0,2,0,0,1.5,1,0,0
2013,219.0,0,9,25,0,92000.0,3,2,5,0,1.0,0,0,5
2013,345.0,11,8,123,0,0.0,11,10,0,1,2.5,1,2,4
2010,260.0,0,15,34,0,71000.0,5,1,0,0,1.6,0,0,0
2019,1769.0,0,3,16,1,37000.0,2,1,0,0,2.0,0,1,0
2014,150.0,38,9,25,1,0.0,4,1,0,0,1.25,1,0,2
2022,670.0,0,9,57,1,3800.0,3,1,0,0,1.6,0,0,0
2016,679.0,0,11,46,1,60000.0,4,1,0,0,2.5,0,3,1
2017,396.0,3,11,20,1,0.0,3,4,0,0,1.5,0,0,0
2016,7650.0,0,7,77,0,30000.0,11,6,3,0,5.0,0,3,1
2020,958.0,1,0,0,0,20112.0,1,1,0,0,2.0,0,0,0
2019,1050.0,0,14,49,0,45000.0,3,1,1,1,2.0,0,1,1
2017,1899.0,0,10,111,0,29999.0,6,6,0,0,2.5,0,0,0
2016,736.0,29,0,6,1,0.0,0,0,2,1,2.5,1,1,1
2011,153.0,10,15,34,1,0.0,3,0,0,0,1.6,1,0,0
2019,548.0,1,9,114,1,43000.0,1,2,1,0,2.0,0,0,1
2016,3600.0,0,6,60,0,20000.0,6,6,5,0,2.0,0,1,7
2018,3500.0,0,0,44,0,45000.0,3,6,1,0,3.5,0,0,5
2017,886.0,0,0,6,0,62000.0,2,6,2,0,2.7,0,2,1
2019,825.0,18,11,46,1,8000.0,1,1,0,0,2.0,0,0,1
2019,665.0,0,14,42,0,40000.0,3,1,0,1,2.2,0,1,4
2019,850.0,0,13,226,0,38000.0,4,6,1,1,2.5,0,3,1
2016,580.0,0,11,65,1,70000.0,2,1,0,0,2.0,0,0,0
2012,313.0,24,9,147,0,0.0,1,1,0,0,1.4,0,0,2
2020,1759.0,1,3,16,1,0.0,3,1,0,0,1.5,0,1,0
2018,888.0,0,0,0,1,57000.0,2,6,0,0,2.5,0,0,0
2017,322.0,0,9,25,1,60000.0,3,12,0,0,1.25,0,0,2
2018,5250.0,0,6,40,0,0.0,3,2,3,0,3.0,0,1,0
2019,468.0,1,2,53,1,50000.0,6,7,0,0,1.4,0,0,0
2021,2099.0,0,3,15,1,2000.0,2,2,0,0,2.0,0,3,1
2005,113.0,0,15,34,1,0.0,3,0,0,0,1.6,1,0,0
2008,199.0,5,13,38,1,0.0,0,0,1,0,2.4,1,0,1
2016,250.0,27,2,37,0,0.0,3,4,0,0,1.25,1,0,2
2010,263.0,49,2,26,0,0.0,3,0,0,0,1.4,0,0,2
2019,618.0,0,11,36,1,35000.0,1,1,0,0,1.5,0,0,0
2015,588.0,0,9,63,1,58000.0,2,1,1,0,2.4,0,0,1
1993,110.0,15,0,258,0,288000.0,5,4,0,0,2.0,1,0,0
2017,425.0,9,2,23,1,60000.0,3,7,0,0,1.6,1,0,0
2019,839.0,0,0,27,0,30000.0,11,0,0,1,2.8,0,2,4
2021,2529.0,0,3,15,1,7000.0,3,2,0,0,2.0,0,3,1
2020,1190.0,0,2,2,1,0.0,2,6,1,1,2.2,0,3,1
2016,505.0,0,9,114,1,60000.0,3,1,1,1,1.7,0,0,1
2008,198.0,39,14,79,1,25000.0,2,6,0,0,1.8,1,0,0
2020,2299.0,1,3,15,1,41000.0,4,1,0,0,2.0,0,3,1
2015,520.0,6,0,35,1,75000.0,2,1,0,0,1.8,0,0,0
2016,1185.0,0,3,4,1,35000.0,3,5,0,0,2.0,0,1,0
2017,418.0,0,17,148,1,30.0,4,1,0,0,1.4,0,0,2
2021,14000.0,0,3,152,0,8000.0,2,5,0,0,4.0,0,3,1
2019,1220.0,1,14,49,0,60000.0,4,1,1,1,2.0,0,2,1
2012,255.0,1,14,41,1,0.0,5,4,4,1,2.4,1,1,5
2018,450.0,20,2,53,1,50000.0,3,8,0,0,1.4,0,0,0
2014,465.0,0,14,42,0,98695.0,0,1,0,1,2.2,0,1,4
2007,559.0,0,1,32,0,90000.0,5,1,1,0,3.0,0,3,1
2020,760.0,6,2,69,1,0.0,1,2,0,0,2.0,0,0,3
2020,1299.0,0,14,49,0,19000.0,1,1,1,1,2.0,0,2,1
2011,550.0,39,3,16,1,100000.0,3,2,0,0,1.8,0,1,0
2016,493.0,21,0,21,1,0.0,0,0,2,0,2.0,1,1,3
2010,498.0,19,0,6,1,0.0,2,4,2,1,2.5,1,1,1
2021,1250.0,0,5,11,1,4000.0,2,6,1,0,2.0,0,3,1
2016,465.0,0,9,114,1,0.0,0,4,1,0,2.0,0,0,1
2015,985.0,21,3,4,1,76000.0,0,5,0,0,2.0,0,1,0
2020,739.0,1,5,7,1,39000.0,7,6,0,0,2.0,0,1,0
2013,292.0,6,0,21,1,0.0,0,0,2,0,2.0,1,1,3
2010,510.0,20,3,16,1,90000.0,2,1,0,0,1.8,0,1,0
2016,245.0,27,9,25,1,77000.0,3,4,0,0,1.25,1,0,2
2013,535.0,9,11,46,1,70000.0,3,1,0,0,2.0,0,3,1
2008,138.0,1,15,66,1,0.0,0,0,0,0,1.5,1,0,0
2017,520.0,3,0,22,0,22000.0,1,1,0,0,1.5,0,0,2
2016,304.0,0,0,17,1,59374.0,6,2,0,0,1.5,1,0,0
2012,273.0,25,2,74,1,0.0,3,0,0,0,1.6,1,0,0
2016,180.0,4,9,25,1,0.0,15,0,0,0,1.25,1,0,2
2016,398.0,1,14,29,1,30000.0,0,0,0,0,1.5,0,0,1
2022,1539.0,1,0,6,1,2279.0,2,1,1,1,2.8,0,2,1
2019,930.0,0,20,127,1,0.0,3,4,0,0,1.6,0,0,3
2010,218.0,0,9,25,0,900000.0,3,1,0,0,1.0,0,0,2
2016,330.0,0,2,37,0,68000.0,3,7,0,0,1.25,0,0,2
2017,228.0,11,13,80,1,0.0,3,2,0,0,1.4,0,0,0
2014,2520.0,1,7,117,0,40000.0,1,2,0,0,3.0,0,3,1
2019,548.0,12,11,50,0,0.0,3,0,0,1,2.2,1,2,4
2010,419.0,0,4,14,1,78000.0,0,1,0,0,2.4,0,0,1
2022,628.0,3,14,42,0,0.0,2,8,0,1,2.2,1,2,4
2008,315.0,0,3,16,1,106586.0,2,2,0,0,1.8,0,1,0
2016,448.0,25,0,21,1,112000.0,0,7,2,0,2.0,1,1,3
2017,839.0,0,2,2,1,79000.0,1,7,1,0,2.4,0,2,1
2015,795.0,1,0,0,1,0.0,12,1,0,0,2.5,0,0,0
2017,689.0,1,11,46,1,71000.0,4,15,0,0,2.0,0,0,1
2011,255.0,27,14,72,1,98066.0,3,1,0,0,1.6,0,0,2
2015,333.0,1,14,41,1,0.0,0,0,6,1,2.4,1,1,5
2019,1068.0,1,20,259,1,25000.0,3,1,1,1,2.0,0,0,5
2011,398.0,3,1,1,0,100000.0,4,4,0,0,2.0,0,1,0
2005,179.0,1,14,49,1,120000.0,2,1,2,1,2.5,1,1,1
2020,10200.0,0,6,92,0,0.0,4,5,3,0,3.0,0,1,6
2012,393.0,1,0,35,1,12000.0,2,0,0,0,1.8,1,0,0
2016,662.0,21,4,81,0,46000.0,3,1,0,0,1.5,0,0,0
2011,430.0,29,2,204,0,0.0,1,10,0,0,1.6,0,0,2
2016,6950.0,1,10,93,0,54821.0,3,6,1,0,5.7,0,3,1
2018,305.0,0,2,37,1,50.0,0,3,0,0,1.25,1,0,2
2021,1769.0,1,3,15,1,10368.0,2,1,0,0,2.0,0,1,1
2013,368.0,11,9,57,1,87000.0,2,0,0,0,1.6,0,0,0
2017,1980.0,0,10,54,0,68000.0,3,7,0,0,2.0,0,3,1
2012,198.0,13,0,17,1,0.0,0,1,0,0,1.5,1,0,0
2019,983.0,0,2,2,1,38000.0,3,1,1,0,2.4,0,3,1
2017,368.0,1,0,17,1,0.0,12,0,0,0,1.5,1,0,0
2021,545.0,20,2,53,1,10000.0,7,0,0,0,1.4,0,0,0
2014,169.0,6,9,25,1,99999.0,6,7,0,0,1.25,1,0,2
2018,590.0,1,0,21,1,108500.0,8,6,2,0,2.0,1,1,3
2007,56.0,13,15,30,1,0.0,4,4,0,0,0.8,1,0,2
2020,639.0,1,11,50,0,12000.0,3,1,0,1,2.2,1,2,4
2020,625.0,0,11,36,1,0.0,1,0,0,0,1.5,0,0,0
2021,709.0,6,9,105,1,14000.0,2,2,0,0,1.4,0,0,3
2012,645.0,0,3,16,1,0.0,2,1,0,0,1.8,0,1,0
2020,625.0,0,12,58,0,28000.0,11,1,0,1,2.4,0,1,4
2021,357.0,7,12,125,0,3500.0,3,1,0,0,1.2,1,0,0
2016,1055.0,0,3,4,1,60000.0,1,1,0,0,2.0,0,1,0
2010,175.0,48,0,17,1,0.0,2,0,0,0,1.5,1,0,0
2007,235.0,17,4,81,1,0.0,2,1,0,0,1.8,0,0,0
2016,3020.0,0,3,8,1,52000.0,2,1,0,0,4.7,0,1,0
2019,315.0,19,2,37,1,2700.0,1,8,0,0,1.25,1,0,2
2019,4280.0,0,3,8,1,10000.0,3,2,0,0,3.0,0,1,0
2011,305.0,9,0,35,1,0.0,2,0,0,0,1.8,1,0,0
2008,243.0,12,8,260,0,0.0,2,0,0,0,1.6,0,0,0
2008,600.0,1,22,175,0,0.0,2,0,1,0,3.7,0,3,1
1991,65.0,2,4,169,0,1200000.0,2,1,0,0,2.2,1,0,0
2011,355.0,39,4,81,1,91000.0,11,2,0,0,1.8,0,0,0
2019,859.0,0,9,63,1,46000.0,3,2,1,1,2.2,0,0,1
2019,5899.0,0,6,43,0,0.0,2,5,0,0,3.0,0,3,1
2016,437.0,1,14,29,1,67000.0,10,1,0,0,1.5,0,0,1
2018,719.0,0,8,157,1,0.0,3,1,1,0,2.0,0,0,1
2020,395.0,0,2,37,1,20000.0,1,7,0,0,1.25,0,0,2
2014,1990.0,0,3,88,0,45000.0,2,2,1,0,3.0,0,3,1
2018,3479.0,0,3,8,1,24000.0,2,1,0,0,3.0,0,1,0
2005,198.0,29,14,49,1,0.0,2,0,2,1,2.5,1,1,1
2005,600.0,1,10,99,0,100000.0,6,2,0,0,4.3,0,1,0
2017,450.0,0,4,5,1,0.0,0,0,0,0,1.5,0,0,0
2016,305.0,0,9,25,1,60000.0,3,1,0,0,1.25,0,0,2
2016,2990.0,0,10,19,0,40000.0,3,6,0,0,3.5,0,3,1
2011,1325.0,1,10,52,0,0.0,1,2,3,0,2.5,0,1,7
2006,153.0,47,12,128,1,0.0,0,0,2,0,2.0,1,1,1
2019,345.0,0,12,210,0,25500.0,3,1,0,0,1.2,0,0,2
2014,1450.0,0,1,130,0,50.0,2,2,0,0,3.0,0,1,0
2020,398.0,0,2,37,1,27000.0,1,7,0,0,1.25,0,0,2
2007,140.0,48,9,25,0,80000.0,4,7,0,0,1.0,0,0,2
2016,560.0,0,0,35,1,55000.0,2,1,0,0,1.8,0,0,0
2018,768.0,1,2,69,1,52000.0,0,2,0,0,2.0,0,0,3
2019,1100.0,0,2,2,1,38000.0,4,1,1,1,2.2,0,3,1
2017,165.0,1,13,45,1,0.0,3,0,0,0,1.2,1,0,2
2013,930.0,13,1,98,0,0.0,3,4,0,0,2.0,0,1,0
2009,279.0,39,2,69,0,120000.0,0,0,0,0,2.0,0,2,3
2016,389.0,0,14,72,1,70000.0,3,1,0,0,1.0,0,0,2
2007,255.0,0,0,22,0,11000.0,2,4,0,0,1.3,0,0,2
2011,959.0,1,1,98,0,128000.0,4,5,0,0,3.0,0,1,0
2017,176.0,4,13,45,1,0.0,1,7,5,0,1.2,1,0,5
2013,518.0,0,0,6,1,129000.0,0,2,2,0,2.7,0,2,1
2012,400.0,13,14,49,1,140000.0,2,4,2,1,2.5,1,1,1
2019,980.0,0,5,11,1,24000.0,1,6,1,0,2.0,0,1,1
2011,329.0,0,9,18,1,0.0,0,1,0,0,1.6,0,0,0
2016,485.0,0,11,36,1,60000.0,4,1,0,0,1.5,0,0,0
2019,520.0,1,0,17,1,16700.0,0,2,0,0,1.5,0,0,0
2012,435.0,0,0,35,1,980000.0,0,3,0,0,2.0,0,0,0
2010,1230.0,0,10,19,0,100000.0,4,2,0,0,3.5,0,3,1
2007,130.0,0,9,64,0,0.0,3,4,0,0,1.6,1,0,0
2018,483.0,1,0,21,1,154000.0,0,0,2,0,2.0,1,1,3
2018,538.0,1,8,123,0,73000.0,2,1,0,1,2.5,0,1,4
2020,650.0,27,11,36,1,23000.0,3,1,0,0,1.5,0,0,0
2017,375.0,0,0,17,1,71000.0,12,2,0,0,1.5,1,0,0
1995,30.0,51,9,103,1,0.0,3,0,0,0,1.3,1,0,0
2021,370.0,0,5,73,1,600.0,4,0,0,0,1.4,0,0,2
2018,630.0,1,14,42,0,0.0,3,7,0,1,2.2,0,1,4
2016,860.0,1,4,169,0,14200.0,7,1,0,0,2.4,0,0,0
2002,116.0,0,14,71,1,0.0,4,0,0,0,3.0,0,2,1
2012,300.0,11,9,48,1,0.0,3,8,1,0,2.0,0,0,3
2015,450.0,27,2,26,0,500890.0,1,14,0,0,1.4,0,0,3
2016,289.0,29,9,25,1,52000.0,3,6,0,0,1.25,0,0,2
2020,750.0,0,8,123,0,20000.0,2,0,0,1,2.5,0,2,4
2019,1539.0,0,3,15,1,0.0,2,6,0,0,2.0,0,1,1
2019,1090.0,0,0,0,0,42000.0,2,0,0,0,2.5,0,0,0
2021,1290.0,1,0,0,0,5200.0,1,1,0,0,2.5,0,0,0
2019,283.0,1,2,37,1,0.0,1,0,0,0,1.25,1,0,0
2005,168.0,24,0,56,1,0.0,4,0,2,0,1.8,1,1,1
2009,1080.0,1,10,106,0,0.0,2,4,1,0,4.7,0,3,1
2021,2089.0,1,3,15,1,4000.0,2,2,0,0,2.0,0,3,1
2015,420.0,11,9,147,0,50000.0,3,2,0,0,1.4,0,0,0
2019,415.0,0,9,142,1,30000.0,1,1,0,0,1.4,0,0,0
2017,368.0,1,13,28,1,0.0,3,0,0,0,1.6,1,0,0
2009,343.0,0,3,4,1,0.0,2,1,0,0,1.8,0,1,0
2011,275.0,18,0,17,1,100000.0,0,6,0,0,1.5,1,0,0
2016,469.0,0,9,57,1,46000.0,2,2,0,0,1.6,0,0,0
2015,385.0,0,11,20,1,66000.0,1,1,0,0,1.5,0,0,0
2013,505.0,1,14,49,1,96000.0,11,10,1,1,2.5,1,1,1
2019,609.0,1,0,21,1,58268.0,0,6,2,0,2.0,1,1,3
2020,685.0,0,11,36,1,10000.0,3,1,0,0,1.5,0,0,0
2009,143.0,8,13,45,1,0.0,3,0,0,0,0.8,0,0,2
2019,1099.0,45,14,49,0,41000.0,4,1,1,1,2.0,0,1,1
2007,420.0,9,11,200,0,0.0,1,2,1,0,3.7,0,0,1
2021,2950.0,1,3,16,1,39.0,3,1,0,0,2.0,0,1,0
2018,275.0,58,2,37,1,247000.0,3,8,0,0,1.25,1,0,0
2011,190.0,0,15,66,0,168000.0,2,0,0,0,1.2,1,0,0
2020,960.0,1,2,2,1,15000.0,6,1,1,0,2.4,0,0,1
2020,559.0,1,0,17,1,65000.0,3,2,0,0,1.5,0,0,0
2016,240.0,21,13,80,1,70000.0,2,2,0,0,1.5,1,0,0
2012,189.0,6,9,25,0,80000.0,3,8,5,0,1.0,0,0,5
2011,165.0,19,13,80,1,0.0,2,0,0,0,1.5,1,0,0
2020,639.0,0,12,58,0,15000.0,3,1,0,1,2.4,0,1,4
2005,98.0,24,15,34,1,0.0,2,8,0,0,1.6,1,0,0
2016,425.0,18,0,17,1,80000.0,2,1,0,0,1.5,0,0,0
2019,520.0,0,13,177,0,48000.0,3,1,0,1,2.5,0,1,4
2016,698.0,1,9,47,1,43000.0,11,6,1,0,3.3,0,0,5
2009,610.0,24,0,122,0,95000.0,7,6,0,0,2.7,0,0,3
2020,685.0,6,11,36,1,0.0,1,1,0,0,1.5,0,0,2
2019,1770.0,0,3,16,1,3000.0,3,6,0,0,1.5,0,1,0
2019,740.0,0,14,178,1,0.0,7,0,1,0,2.0,0,0,5
2016,4200.0,0,1,261,0,30000.0,3,2,3,3,1.5,0,3,6
2003,230.0,1,0,0,1,98827.0,2,8,0,0,3.0,0,0,0
2011,589.0,0,3,16,1,60000.0,2,1,0,0,1.8,0,1,0
2006,175.0,50,14,49,1,246895.0,2,0,2,0,2.6,1,1,1
2015,3050.0,0,10,106,0,60000.0,3,6,1,0,4.6,0,3,1
2018,565.0,0,11,36,1,38000.0,1,1,0,0,1.5,0,0,0
2018,442.0,0,2,53,1,3000.0,2,0,0,0,1.4,0,0,0
2016,655.0,0,11,46,1,52000.0,7,1,0,0,2.5,0,0,1
2020,688.0,1,2,23,1,20000.0,2,1,0,0,1.6,0,0,0
2016,685.0,9,0,6,1,92000.0,11,2,2,1,2.5,1,1,1
2011,2900.0,1,1,75,0,0.0,1,4,0,0,3.0,0,3,1
2016,610.0,0,0,0,1,70000.0,2,2,0,0,2.0,0,0,0
2016,218.0,38,2,37,0,130000.0,0,0,0,0,1.25,1,0,0
2016,375.0,11,13,80,1,65000.0,3,7,0,0,1.5,0,0,0
2003,399.0,56,10,19,0,167000.0,2,0,0,0,3.3,0,0,1
2014,965.0,1,3,16,1,61000.0,0,1,0,0,3.0,0,1,0
2015,248.0,1,13,80,1,79000.0,3,8,0,0,1.5,0,0,0
2019,1480.0,0,3,4,1,27000.0,3,2,0,0,2.0,0,1,0
2018,1439.0,1,3,4,1,8000.0,1,1,0,0,2.0,0,1,0
2017,425.0,35,2,23,1,11.0,7,6,0,0,1.6,1,0,0
2017,630.0,1,0,21,1,92000.0,0,7,2,0,2.0,0,1,3
2020,732.0,9,4,81,0,0.0,3,0,0,0,1.8,0,0,0
2016,668.0,0,8,157,1,56000.0,0,1,1,0,2.5,0,2,1
2016,440.0,0,9,114,1,58000.0,0,2,1,0,2.0,0,0,1
2017,490.0,0,0,21,1,80000.0,0,6,2,0,2.0,1,1,3
2016,2980.0,1,0,44,0,27000.0,12,6,1,0,3.5,0,0,5
2008,255.0,9,13,38,1,0.0,0,2,1,0,2.4,0,0,1
2004,168.0,0,17,112,1,160000.0,4,2,0,0,1.6,1,2,1
2018,290.0,24,2,37,1,0.0,3,1,0,0,1.25,1,0,0
2019,850.0,20,8,212,0,38000.0,11,6,1,0,2.5,0,2,1
2007,355.0,19,0,0,1,13000.0,2,1,0,0,2.4,0,0,0
2017,245.0,0,9,25,1,0.0,0,0,0,0,1.25,1,0,2
2019,835.0,1,8,212,0,23000.0,3,1,1,0,2.5,0,2,1
2018,768.0,45,2,69,1,52000.0,12,2,0,0,2.0,0,0,3
2018,299.0,0,0,83,0,50000.0,7,6,0,0,1.2,0,0,2
2020,640.0,1,0,118,0,38000.0,3,2,1,0,1.5,0,1,1
2018,719.0,6,11,65,1,0.0,1,1,0,0,2.0,0,0,0
2018,3479.0,0,3,8,1,25000.0,2,1,0,0,3.0,0,1,0
2001,58.0,13,12,128,1,100000.0,3,0,2,0,2.0,1,1,1
2014,606.0,0,0,6,1,155220.0,2,2,2,1,2.5,1,1,1
2003,199.0,19,0,0,1,16000.0,0,0,0,0,2.4,1,0,0
2013,603.0,57,0,0,1,0.0,2,0,0,0,2.5,0,0,0
2004,98.0,0,15,34,1,0.0,0,0,0,0,1.6,1,0,0
2016,710.0,1,0,6,1,32210.0,0,2,2,0,2.7,0,2,1
2006,216.0,1,0,21,1,0.0,0,0,2,0,2.0,1,1,3
2003,238.0,6,0,0,1,150000.0,2,2,0,0,2.4,1,0,0
2015,323.0,9,2,53,0,0.0,3,0,0,0,1.4,1,0,0
2015,1969.0,1,3,88,0,69000.0,2,2,1,1,3.0,0,3,1
2021,789.0,0,5,7,1,15000.0,3,6,0,0,2.0,0,1,0
2021,915.0,0,0,101,0,12336.0,3,1,0,0,1.8,0,0,1
2005,153.0,21,2,182,0,0.0,4,0,7,1,2.5,1,1,8
2015,675.0,0,4,14,1,80000.0,2,2,0,0,2.0,0,0,1
2000,335.0,1,3,262,0,0.0,3,4,3,0,3.2,0,1,7
2020,1120.0,0,2,2,1,28000.0,2,6,1,0,2.4,0,3,1
2016,420.0,3,9,114,1,0.0,7,12,1,0,2.0,0,0,1
2018,468.0,1,2,53,1,51000.0,0,7,0,0,1.4,0,0,0
